2/10/2016,16:27:00,Robbery No Firearm,7300 CASTOR AV,-75.06604248,40.0512706
2/10/2016,23:01:00,Robbery No Firearm,1500 JEFFERSON ST,-75.16021611,39.97604538
2/14/2016,14:31:00,Robbery No Firearm,7900 FRANKFORD AVE,-75.02973337,40.0408823
1/26/2016,20:53:00,Robbery Firearm,1100 W GIRARD AV,-75.15420864,39.97075233
1/28/2016,10:52:00,Robbery No Firearm,7300 BUSTLETON AVE,-75.0599353,40.04784142
2/14/2016,6:55:00,Robbery Firearm,4400 CITY AV,-75.22133541,40.00358522
1/26/2016,11:22:00,Robbery No Firearm,0 S 45TH ST,-75.21113792,39.95810227
1/31/2016,16:15:00,Robbery Firearm,2300 S 08TH ST 3,-75.16033257,39.92062065
2/3/2016,17:09:00,Robbery Firearm,6300 BUIST AVE,-75.22769095,39.92195957
2/3/2016,22:53:00,Aggravated Assault No Firearm,6500 GERMANTOWN AVE 2,-75.1840275,40.04932151
2/12/2016,15:46:00,Aggravated Assault No Firearm,400 S 09TH ST,-75.15689565,39.94364201
1/21/2016,23:25:00,Aggravated Assault Firearm,N 23RD ST / W LIPPINCOTT ST,-75.167693,40.0026544
1/24/2016,20:34:00,Aggravated Assault No Firearm,4300 LUDLOW ST,-75.20920478,39.95722386
1/26/2016,16:28:00,Aggravated Assault No Firearm,2500 CORAL ST,-75.12704867,39.98463885
2/7/2016,2:15:00,Aggravated Assault No Firearm,7300 FRANKFORD AV,-75.03847331,40.03768531
1/28/2016,12:38:00,Aggravated Assault No Firearm,5600 OGONTZ AVE,-75.15008061,40.03900549
2/14/2016,6:57:00,Aggravated Assault No Firearm,4900 WELLINGTON ST,-75.03339706,40.02540982
1/21/2016,22:20:00,Aggravated Assault No Firearm,5500 WOODLAND AV,-75.22089949,39.93508549
1/26/2016,13:58:00,Aggravated Assault No Firearm,6100 EASTWICK AVE,-75.22065057,39.92296193
2/3/2016,14:08:00,Aggravated Assault No Firearm,700 CHESTNUT ST,-75.15239492,39.94939497
1/22/2016,0:18:00,Aggravated Assault No Firearm,1600 67TH AVE,-75.14598936,40.05573035
1/22/2016,19:32:00,Aggravated Assault No Firearm,600 N 15TH ST,-75.16238233,39.96622401
2/5/2016,11:28:00,Aggravated Assault No Firearm,3400 TAMPA ST,-75.11748853,40.00167735
2/8/2016,10:01:00,Aggravated Assault No Firearm,2500 W SILVER ST,-75.17367822,39.99721625
1/30/2016,10:52:00,Aggravated Assault Firearm,2900 N 26TH ST,-75.1731355,40.00048026
1/31/2016,19:40:00,Aggravated Assault Firearm,5200 LANSDOWNE AVE,-75.22661953,39.97741593
2/4/2016,17:58:00,Aggravated Assault Firearm,100 E WILLARD ST,-75.12764512,39.99948315
2/4/2016,22:34:00,Aggravated Assault Firearm,1200 MARKET ST,-75.15994233,39.95188657
2/9/2016,18:28:00,Aggravated Assault Firearm,5900 W CHAMPLOST AV,-75.15432472,40.04560134
2/13/2016,4:15:00,Aggravated Assault Firearm,4900 PRINCETON AVE,-75.03668531,40.0255742
1/31/2016,20:54:00,Aggravated Assault No Firearm,3000 N 22ND ST,-75.16636103,40.0009195
2/1/2016,17:47:00,Aggravated Assault No Firearm,2200 S 07TH ST,-75.1586168,39.92068176
2/9/2016,3:52:00,Aggravated Assault No Firearm,1300 LOCUST ST,-75.16240284,39.94790443
2/11/2016,17:14:00,Aggravated Assault No Firearm,N BROAD ST / CECIL B MOORE AV,-75.1579174,39.97871693
2/14/2016,4:41:00,Aggravated Assault No Firearm,11000 KNIGHTS RD,-74.97552164,40.08220545
2/13/2016,23:24:00,Aggravated Assault No Firearm,5700 GREENE ST,-75.17679132,40.03422704
2/15/2016,8:37:00,Aggravated Assault No Firearm,4000 MARKET ST,-75.20195644,39.95715846
2/9/2016,2:22:00,Aggravated Assault No Firearm,2500 S 66TH ST,-75.23079135,39.92062124
2/3/2016,11:07:00,Aggravated Assault No Firearm,3000 RYAN AVE,-75.04523886,40.04608422
1/30/2016,14:52:00,Aggravated Assault No Firearm,1300 S GARNET ST,-75.17629497,39.93471563
2/3/2016,23:45:00,Aggravated Assault No Firearm,3400 ENGLEWOOD ST,-75.04442839,40.03794046
2/7/2016,11:30:00,Aggravated Assault No Firearm,3000 N HEMBERGER ST,-75.16738694,40.00112379
2/15/2016,2:53:00,Aggravated Assault No Firearm,6100 W PASSYUNK AV,-75.2102704,39.91796928
1/31/2016,19:16:00,Aggravated Assault Firearm,2300 MORRIS ST,-75.18439099,39.93126205
2/3/2016,14:55:00,Aggravated Assault Firearm,2500 SALMON ST,-75.11731675,39.97545722
2/4/2016,20:31:00,Aggravated Assault Firearm,2800 N 04TH ST,-75.13804423,39.99348962
2/9/2016,18:36:00,Aggravated Assault Firearm,7400 FRANKFORD AVE,-75.03799668,40.03785726
1/25/2016,18:07:00,Aggravated Assault No Firearm,TUDOR ST / DITMAN ST,-75.0337553,40.03191796
1/28/2016,12:11:00,Aggravated Assault No Firearm,2400 S MARSHALL ST,-75.15810549,39.9182782
1/31/2016,20:29:00,Aggravated Assault No Firearm,3000 N 22ND ST,-75.16636103,40.0009195
2/9/2016,1:17:00,Aggravated Assault No Firearm,3900 N DELAWARE AV,-75.07611926,39.98638156
2/12/2016,12:43:00,Aggravated Assault No Firearm,7700 FRANKFORD AVE,-75.03299839,40.03959396
2/7/2016,14:14:00,Aggravated Assault No Firearm,100 S 02ND ST,-75.1441403,39.94838101
2/13/2016,13:51:00,Aggravated Assault No Firearm,1100 PATTISON AV,-75.16867484,39.90472782
2/16/2016,19:09:00,Aggravated Assault No Firearm,3400 ARAMINGO AV,-75.10048506,39.991634
2/17/2016,13:28:00,Aggravated Assault No Firearm,7800 LEXINGTON AV,-75.04286351,40.04981799
2/12/2016,15:47:00,Aggravated Assault No Firearm,5800 LANCASTER AV,-75.23897945,39.98188418
1/22/2016,16:36:00,Aggravated Assault No Firearm,3000 N 23RD ST,-75.16814493,40.00083019
2/1/2016,15:05:00,Aggravated Assault No Firearm,2700 N 17TH ST,-75.15940137,39.99467613
1/31/2016,8:17:00,Aggravated Assault No Firearm,5000 N SMEDLEY ST,-75.15066557,40.03103259
2/3/2016,2:56:00,Aggravated Assault No Firearm,1500 N 52ND ST,-75.2254534,39.97941541
2/1/2016,23:43:00,Aggravated Assault Firearm,3100 N 16TH ST,-75.15621925,40.00187324
2/3/2016,17:38:00,Aggravated Assault Firearm,2300 OAKFORD ST,-75.18206812,39.93711482
2/5/2016,19:46:00,Aggravated Assault Firearm,2000 S ALDEN ST,-75.22599054,39.93489785
2/3/2016,15:57:00,Aggravated Assault No Firearm,S 12TH ST / OREGON AV,-75.16756939,39.91628364
1/29/2016,21:09:00,Aggravated Assault No Firearm,1200 S 47TH ST,-75.21115036,39.94366029
2/12/2016,23:51:00,Aggravated Assault No Firearm,6300 PASCHALL AV,-75.23137977,39.92585403
2/11/2016,14:45:00,Aggravated Assault No Firearm,1100 W OXFORD ST,-75.15392409,39.97669078
2/11/2016,20:51:00,Aggravated Assault No Firearm,1300 WOLF ST,-75.16815665,39.92159373
2/17/2016,9:39:00,Aggravated Assault No Firearm,7200 BRADFORD ST,-75.05847736,40.04664922
2/2/2016,17:11:00,Aggravated Assault Firearm,3200 TYSON AVE,-75.05011128,40.03563769
1/27/2016,12:56:00,Aggravated Assault No Firearm,2300 S ITHAN ST,-75.21846038,39.9307933
2/1/2016,17:21:00,Aggravated Assault Firearm,1700 S CONESTOGA ST,-75.22053961,39.93637815
1/23/2016,23:24:00,Aggravated Assault Firearm,400 E ALLEGHENY AV,-75.12145289,39.99758529
2/8/2016,12:54:00,Aggravated Assault Firearm,1900 JEFFERSON ST,-75.16649851,39.97684862
1/21/2016,9:45:00,Aggravated Assault No Firearm,1600 WINDRIM AVE,-75.15126564,40.02719536
2/1/2016,20:57:00,Aggravated Assault No Firearm,2100 W LEHIGH AV,-75.16600556,39.99546926
2/1/2016,21:20:00,Aggravated Assault No Firearm,1300 SPRUCE ST,-75.16266924,39.94668508
1/22/2016,12:30:00,Aggravated Assault No Firearm,3000 RYAN AVE,-75.04532816,40.04649451
2/2/2016,15:48:00,Aggravated Assault No Firearm,2700 N BROAD ST,-75.15459046,39.99394764
1/29/2016,16:22:00,Aggravated Assault No Firearm,N 02ND ST / W LEHIGH AV,-75.13487091,39.99141704
2/1/2016,18:33:00,Aggravated Assault No Firearm,3100 N 02ND ST,-75.13356186,39.99781429
2/9/2016,0:24:00,Aggravated Assault No Firearm,3900 N DELAWARE AV,-75.07611926,39.98638156
2/7/2016,14:52:00,Aggravated Assault No Firearm,100 S 02ND ST,-75.14422465,39.94749588
2/12/2016,7:22:00,Aggravated Assault No Firearm,1800 FERNON ST,-75.1752644,39.93098828
1/24/2016,11:43:00,Aggravated Assault No Firearm,2500 W SILVER ST,-75.17330318,39.99716923
1/27/2016,11:58:00,Aggravated Assault No Firearm,1600 COTTMAN AVE,-75.07233256,40.05485483
2/5/2016,1:14:00,Aggravated Assault No Firearm,300 UNIVERSITY AVE UNIVERSITY AV,-75.19920539,39.95104869
2/5/2016,13:42:00,Aggravated Assault No Firearm,7100 EDMUND ST,-75.03752537,40.0266745
2/7/2016,9:44:00,Aggravated Assault No Firearm,3000 N HEMBERGER ST,-75.16738694,40.00112379
2/9/2016,14:55:00,Aggravated Assault No Firearm,2600 S MILDRED ST,-75.16192888,39.91593038
1/23/2016,1:43:00,Aggravated Assault No Firearm,1200 ELLSWORTH ST,-75.16397522,39.93627553
2/3/2016,1:02:00,Aggravated Assault No Firearm,S 13TH ST / OREGON AV,-75.16924583,39.9165063
2/4/2016,11:18:00,Aggravated Assault No Firearm,1100 JACKSON ST,-75.16476736,39.92243972
2/4/2016,17:40:00,Aggravated Assault No Firearm,800 N BROAD ST,-75.16009617,39.96875157
2/4/2016,18:46:00,Aggravated Assault No Firearm,2500 E CUMBERLAND ST,-75.12161838,39.97839947
